Actual_CO_GT,RF_Predicted,SVR_Predicted,XGB_Predicted,GB_Predicted,RF_Error,XGB_Error
7.1,6.425,6.685,6.885,6.863,0.675,0.215
0.9,0.858,0.897,0.854,0.908,0.042,0.046
3.8,3.435,3.422,3.17,3.262,0.365,0.63
2.3,1.857,1.848,2.236,2.123,0.443,0.064
0.9,0.9,0.885,0.833,0.834,-0.0,0.067
2.2,2.282,2.389,2.276,2.375,-0.082,-0.076
5.6,3.832,3.794,4.205,4.096,1.768,1.395
1.6,1.941,1.737,1.653,1.579,-0.341,-0.053
3.1,2.947,3.053,2.929,2.981,0.153,0.171
3.3,2.759,2.821,2.778,2.783,0.541,0.522
2.5,2.329,2.375,2.303,2.276,0.171,0.197
2.4,2.553,2.295,2.488,2.421,-0.153,-0.088
1.2,0.992,1.229,1.088,1.153,0.208,0.112
0.3,0.462,0.422,0.545,0.565,-0.162,-0.245
0.6,0.663,0.651,0.639,0.651,-0.063,-0.039
2.0,2.116,2.032,1.975,1.865,-0.116,0.025
1.6,1.277,1.453,1.394,1.334,0.323,0.206
0.2,0.399,0.281,0.376,0.441,-0.199,-0.176
1.8,1.81,1.909,1.598,1.671,-0.01,0.202
1.4,1.404,1.579,1.613,1.604,-0.004,-0.213
1.7,1.678,1.81,1.696,1.755,0.022,0.004
0.2,0.57,0.589,0.524,0.572,-0.37,-0.324
2.1,2.094,2.141,2.094,2.175,0.006,0.006
4.3,4.562,6.222,4.902,4.627,-0.262,-0.602
0.4,0.828,0.661,0.767,0.898,-0.428,-0.367
2.3,2.368,2.402,2.273,2.384,-0.068,0.027
0.6,0.526,0.568,0.525,0.505,0.074,0.075
1.9,1.971,2.357,2.126,2.114,-0.071,-0.226
3.5,3.986,4.03,4.23,4.298,-0.486,-0.73
2.0,1.702,1.929,1.839,1.758,0.298,0.161
2.1,2.288,2.397,2.208,2.167,-0.188,-0.108
1.2,1.427,1.419,1.429,1.437,-0.227,-0.229
2.1,2.217,2.139,2.19,2.163,-0.117,-0.09
0.8,0.654,0.589,0.602,0.536,0.146,0.198
5.8,4.221,4.076,3.973,4.08,1.579,1.827
4.1,4.191,4.511,4.165,4.312,-0.091,-0.065
1.3,1.122,1.137,1.109,1.015,0.178,0.191
1.5,1.659,1.546,1.56,1.565,-0.159,-0.06
0.3,0.437,0.293,0.475,0.519,-0.137,-0.175
0.8,1.033,0.947,1.002,0.944,-0.233,-0.202
1.7,1.694,1.718,1.57,1.514,0.006,0.13
2.8,2.787,2.997,2.641,2.647,0.013,0.159
0.5,0.526,0.552,0.487,0.462,-0.026,0.013
2.0,1.904,1.901,2.024,1.995,0.096,-0.024
2.4,2.067,2.074,2.083,1.989,0.333,0.317
1.0,1.035,1.046,1.077,1.067,-0.035,-0.077
3.4,4.221,4.133,4.05,3.947,-0.821,-0.65
0.7,0.785,0.887,0.67,0.685,-0.085,0.03
1.2,1.126,1.139,1.123,1.089,0.074,0.077
3.3,4.057,3.611,4.058,4.172,-0.757,-0.758
0.6,0.594,0.608,0.663,0.673,0.006,-0.063
1.0,0.858,0.972,0.894,0.803,0.142,0.106
1.6,1.483,1.536,1.501,1.466,0.117,0.099
2.1,2.067,1.922,2.337,2.247,0.033,-0.237
2.1,2.561,2.269,2.438,2.491,-0.461,-0.338
2.1,1.769,2.025,1.878,1.75,0.331,0.222
0.8,0.651,0.72,0.742,0.743,0.149,0.058
1.5,1.623,1.62,1.687,1.821,-0.123,-0.187
4.9,4.91,4.717,4.831,4.893,-0.01,0.069
1.3,1.071,1.188,1.178,1.14,0.229,0.122
1.6,1.739,1.691,1.795,1.833,-0.139,-0.195
0.8,0.692,0.8,0.726,0.712,0.108,0.074
4.0,4.113,4.057,4.203,4.163,-0.113,-0.203
1.9,1.986,1.91,1.941,1.897,-0.086,-0.041
2.9,3.02,3.044,3.029,3.086,-0.12,-0.129
4.8,4.45,5.097,4.675,4.594,0.35,0.125
2.8,3.095,2.858,3.142,3.1,-0.295,-0.342
1.2,1.14,1.119,1.222,1.19,0.06,-0.022
0.5,0.726,0.586,0.641,0.699,-0.226,-0.141
6.0,5.98,5.695,5.608,5.58,0.02,0.392
2.1,2.114,2.157,2.12,2.12,-0.014,-0.02
1.7,1.762,1.798,1.843,1.7,-0.062,-0.143
0.9,0.875,0.884,0.826,0.901,0.025,0.074
1.6,1.524,1.595,1.586,1.48,0.076,0.014
1.5,1.452,1.471,1.588,1.468,0.048,-0.088
1.9,2.212,2.143,2.12,2.209,-0.312,-0.22
2.2,2.157,2.2,2.264,2.319,0.043,-0.064
2.2,2.638,2.485,2.437,2.405,-0.438,-0.237
2.0,1.993,1.965,2.066,2.037,0.007,-0.066
0.5,0.496,0.515,0.521,0.536,0.004,-0.021
1.4,1.388,1.631,1.481,1.484,0.012,-0.081
2.0,2.131,2.071,2.075,2.124,-0.131,-0.075
0.5,0.666,0.579,0.624,0.645,-0.166,-0.124
1.8,2.045,1.751,1.937,1.856,-0.245,-0.137
1.0,1.096,0.982,1.122,1.016,-0.096,-0.122
2.2,1.978,2.028,2.032,1.921,0.222,0.168
1.6,1.66,1.421,1.545,1.435,-0.06,0.055
1.5,1.668,1.456,1.652,1.758,-0.168,-0.152
1.0,0.896,1.099,0.936,0.858,0.104,0.064
0.7,0.68,0.638,0.546,0.514,0.02,0.154
1.1,0.933,1.104,0.979,0.966,0.167,0.121
3.2,3.264,2.997,3.176,3.271,-0.064,0.024
0.5,0.556,0.296,0.427,0.45,-0.056,0.073
2.0,2.123,2.013,2.051,2.08,-0.123,-0.051
1.0,0.875,0.839,0.782,0.764,0.125,0.218
1.6,1.578,1.515,1.565,1.525,0.022,0.035
3.1,3.832,3.812,3.914,3.774,-0.732,-0.814
1.5,1.474,1.515,1.557,1.498,0.026,-0.057
2.0,2.004,2.168,1.954,2.001,-0.004,0.046
1.4,1.143,1.136,1.209,1.145,0.257,0.191
1.0,0.984,1.055,1.012,1.023,0.016,-0.012
2.2,1.984,2.088,1.962,1.933,0.216,0.238
0.8,0.594,0.755,0.665,0.721,0.206,0.135
3.6,3.636,3.84,3.719,3.622,-0.036,-0.119
2.7,3.061,2.833,2.905,2.742,-0.361,-0.205
1.3,1.536,1.279,1.448,1.47,-0.236,-0.148
6.8,6.422,6.527,6.015,6.464,0.378,0.785
3.9,4.055,4.046,4.127,4.061,-0.155,-0.227
0.5,0.674,0.636,0.686,0.704,-0.174,-0.186
1.2,1.27,1.373,1.216,1.276,-0.07,-0.016
0.7,0.888,0.828,0.88,0.833,-0.188,-0.18
0.4,0.458,0.37,0.503,0.528,-0.058,-0.103
1.0,1.044,1.008,1.058,1.12,-0.044,-0.058
0.8,0.906,0.778,1.037,1.044,-0.106,-0.237
1.9,2.006,1.828,1.924,1.931,-0.106,-0.024
0.3,0.388,0.239,0.374,0.391,-0.088,-0.074
0.7,0.621,0.752,0.693,0.695,0.079,0.007
0.5,0.635,0.618,0.606,0.646,-0.135,-0.106
1.4,1.536,1.656,1.732,1.507,-0.136,-0.332
4.0,4.414,4.085,4.23,4.122,-0.414,-0.23
2.1,2.005,1.971,1.898,1.831,0.095,0.202
2.8,3.021,3.127,3.041,3.062,-0.221,-0.241
0.8,0.868,0.929,0.854,0.839,-0.068,-0.054
1.8,1.771,1.637,1.703,1.813,0.029,0.097
1.4,2.413,2.159,1.714,2.21,-1.013,-0.314
1.1,1.08,1.15,1.103,1.141,0.02,-0.003
3.3,3.251,3.6,3.319,3.187,0.049,-0.019
2.8,2.549,2.646,2.553,2.42,0.251,0.247
1.8,1.613,1.536,1.594,1.574,0.187,0.206
2.1,2.193,2.202,2.177,2.208,-0.093,-0.077
1.5,1.574,1.426,1.411,1.522,-0.074,0.089
2.7,2.803,2.9,3.039,2.803,-0.103,-0.339
2.1,2.571,2.472,2.473,2.592,-0.471,-0.373
4.6,4.203,4.278,4.489,4.381,0.397,0.111
1.2,0.963,1.024,0.978,0.981,0.237,0.222
1.0,0.925,0.937,1.056,1.034,0.075,-0.056
0.8,0.661,0.798,0.709,0.708,0.139,0.091
2.1,2.468,2.354,2.395,2.4,-0.368,-0.295
1.3,1.532,1.301,1.592,1.312,-0.232,-0.292
0.9,0.864,0.934,0.85,0.781,0.036,0.05
2.8,2.692,2.734,2.777,2.689,0.108,0.023
1.3,1.512,1.311,1.27,1.387,-0.212,0.03
2.8,2.672,2.628,2.75,2.665,0.128,0.05
1.1,1.179,1.036,1.219,1.283,-0.079,-0.119
0.7,0.697,0.755,0.85,0.883,0.003,-0.15
3.4,3.202,3.172,3.602,3.437,0.198,-0.202
2.9,2.978,2.906,2.984,2.987,-0.078,-0.084
2.1,2.272,2.012,2.219,2.328,-0.172,-0.119
3.4,3.228,3.166,3.373,3.375,0.172,0.027
1.4,1.41,1.401,1.409,1.499,-0.01,-0.009
6.1,5.381,5.745,5.555,5.581,0.719,0.545
1.3,1.391,1.288,1.357,1.353,-0.091,-0.057
1.5,1.514,1.706,1.593,1.596,-0.014,-0.093
1.3,1.142,1.153,1.166,1.154,0.158,0.134
1.8,1.807,1.788,1.771,1.817,-0.007,0.029
3.7,3.577,3.46,3.661,3.565,0.123,0.039
1.1,1.503,1.142,1.529,1.573,-0.403,-0.429
2.4,2.266,2.528,2.391,2.35,0.134,0.009
2.4,2.355,2.399,2.241,2.358,0.045,0.159
1.3,1.907,1.536,1.761,2.019,-0.607,-0.461
1.4,1.332,1.271,1.359,1.388,0.068,0.041
1.2,1.086,1.114,1.224,1.288,0.114,-0.024
1.4,1.205,1.388,1.443,1.542,0.195,-0.043
0.6,0.484,0.551,0.502,0.478,0.116,0.098
1.7,1.881,1.751,1.848,1.906,-0.181,-0.148
0.5,1.17,0.856,0.973,1.143,-0.67,-0.473
3.5,3.506,3.902,3.742,3.729,-0.006,-0.242
1.5,1.543,1.438,1.48,1.519,-0.043,0.02
0.6,0.603,0.487,0.568,0.605,-0.003,0.032
2.6,2.365,2.451,2.392,2.388,0.235,0.208
0.5,0.401,0.511,0.402,0.406,0.099,0.098
4.9,4.732,5.01,4.777,4.78,0.168,0.123
1.2,1.091,1.146,1.045,1.064,0.109,0.155
4.0,3.896,4.156,3.815,3.864,0.104,0.185
1.0,1.109,1.35,1.141,1.186,-0.109,-0.141
1.0,1.023,1.136,0.941,0.949,-0.023,0.059
1.0,1.502,1.287,1.324,1.411,-0.502,-0.324
3.3,3.273,2.773,3.266,3.322,0.027,0.034
1.1,1.154,1.281,1.177,1.19,-0.054,-0.077
3.5,3.583,3.559,3.638,3.563,-0.083,-0.138
0.7,0.695,0.685,0.644,0.614,0.005,0.056
0.7,0.621,0.796,0.743,0.685,0.079,-0.043
1.8,1.821,1.755,1.752,1.793,-0.021,0.048
1.7,1.687,1.672,1.847,1.87,0.013,-0.147
0.6,0.689,0.574,0.54,0.572,-0.089,0.06
2.7,2.662,2.589,2.591,2.488,0.038,0.109
4.5,4.178,4.238,4.286,4.136,0.322,0.214
1.4,1.601,1.373,1.643,1.664,-0.201,-0.243
1.1,0.779,0.927,0.874,0.778,0.321,0.226
2.0,1.595,1.866,1.815,1.741,0.405,0.185
0.8,0.94,0.93,0.846,0.858,-0.14,-0.046
0.7,0.663,0.682,0.653,0.709,0.037,0.047
1.2,1.601,1.38,1.485,1.532,-0.401,-0.285
5.0,4.041,4.228,3.983,3.807,0.959,1.017
1.1,1.003,1.096,0.956,1.039,0.097,0.144
4.1,3.425,3.846,3.412,3.546,0.675,0.688
1.6,1.403,1.624,1.456,1.514,0.197,0.144
0.8,0.72,0.803,0.805,0.736,0.08,-0.005
2.3,2.574,2.517,2.507,2.567,-0.274,-0.207
1.3,1.436,1.402,1.475,1.482,-0.136,-0.175
3.4,3.125,3.246,3.142,3.208,0.275,0.258
3.6,3.774,3.666,3.655,3.567,-0.174,-0.055
1.1,0.968,1.104,0.952,0.952,0.132,0.148
1.5,1.571,1.566,1.415,1.36,-0.071,0.085
2.9,2.65,2.667,2.859,2.757,0.25,0.041
0.9,0.953,0.89,0.905,0.914,-0.053,-0.005
0.3,0.305,0.311,0.31,0.309,-0.005,-0.01
